Frequency in GHz,dB(sub-3\s3_3)
2.46167,-13.2702
2.46333,-13.3151
2.465,-13.3591
2.46667,-13.4021
2.46833,-13.4442
2.47,-13.4852
2.47167,-13.5252
2.47333,-13.5642
2.475,-13.6021
2.47667,-13.6388
2.47833,-13.6744
2.48,-13.7089
2.48167,-13.7422
2.48333,-13.7743
2.485,-13.8051
2.48667,-13.8347
2.48833,-13.863
2.49,-13.89
2.49167,-13.9157
2.49333,-13.9401
2.495,-13.9631
2.49667,-13.9848
2.49833,-14.0051
2.5,-14.024
2.50167,-14.0415
2.50333,-14.0576
2.505,-14.0723
2.50667,-14.0855
2.50833,-14.0974
2.51,-14.1078
2.51167,-14.1167
2.51333,-14.1242
2.515,-14.1303
2.51667,-14.135
2.51833,-14.1382
2.52,-14.14
2.52167,-14.1404
2.52333,-14.1393
2.525,-14.1369
2.52667,-14.1331
2.52833,-14.1279
2.53,-14.1213
2.53167,-14.1134
2.53333,-14.1042
2.535,-14.0937
2.53667,-14.0818
2.53833,-14.0687
2.54,-14.0543
2.54167,-14.0387
2.54333,-14.0219
2.545,-14.0039
2.54667,-13.9847
2.54833,-13.9644
2.55,-13.943
2.55167,-13.9205
2.55333,-13.8969
2.555,-13.8723
2.55667,-13.8467
2.55833,-13.8201
2.56,-13.7926
2.56167,-13.7641
2.56333,-13.7348
2.565,-13.7045
2.56667,-13.6735
2.56833,-13.6416
2.57,-13.6089
2.57167,-13.5755
2.57333,-13.5413
2.575,-13.5064
2.57667,-13.4709
2.57833,-13.4347
2.58,-13.3979
2.58167,-13.3605
2.58333,-13.3226
2.585,-13.2841
2.58667,-13.245
2.58833,-13.2055
2.59,-13.1655
2.59167,-13.1251
2.59333,-13.0842
2.595,-13.043
2.59667,-13.0014
2.59833,-12.9594
2.6,-12.917
2.60167,-12.8744
2.60333,-12.8315
2.605,-12.7883
2.60667,-12.7448
2.60833,-12.7012
2.61,-12.6573
2.61167,-12.6132
2.61333,-12.5689
2.615,-12.5244
2.61667,-12.4798
2.61833,-12.4351
2.62,-12.3902
2.62167,-12.3453
2.62333,-12.3002
2.625,-12.2551
2.62667,-12.2099
2.62833,-12.1647
2.63,-12.1194
2.63167,-12.0741
2.63333,-12.0288
2.635,-11.9835
2.63667,-11.9382
2.63833,-11.8929
2.64,-11.8476
2.64167,-11.8023
2.64333,-11.7571
2.645,-11.712
2.64667,-11.6669
2.64833,-11.6219
2.65,-11.577
2.65167,-11.5321
2.65333,-11.4873
2.655,-11.4427
2.65667,-11.3981
2.65833,-11.3537
2.66,-11.3093
2.66167,-11.2651
2.66333,-11.221
2.665,-11.177
2.66667,-11.1332
2.66833,-11.0895
2.67,-11.046
2.67167,-11.0026
2.67333,-10.9593
2.675,-10.9162
2.67667,-10.8733
2.67833,-10.8305
2.68,-10.7879
2.68167,-10.7455
2.68333,-10.7032
2.685,-10.6612
2.68667,-10.6192
2.68833,-10.5775
2.69,-10.5359
2.69167,-10.4946
2.69333,-10.4534
2.695,-10.4124
2.69667,-10.3716
2.69833,-10.3309
2.7,-10.2905
2.70167,-10.2503
2.70333,-10.2102
2.705,-10.1704
2.70667,-10.1307
2.70833,-10.0912
2.71,-10.0519
2.71167,-10.0129
2.71333,-9.97399
2.715,-9.93531
2.71667,-9.89683
2.71833,-9.85855
2.72,-9.82046
2.72167,-9.78257
2.72333,-9.74489
2.725,-9.7074
2.72667,-9.67011
2.72833,-9.63302
2.73,-9.59613
2.73167,-9.55944
2.73333,-9.52295
2.735,-9.48665
2.73667,-9.45056
2.73833,-9.41466
2.74,-9.37896
2.74167,-9.34345
2.74333,-9.30815
2.745,-9.27304
2.74667,-9.23812
2.74833,-9.2034
2.75,-9.16888
2.75167,-9.13454
2.75333,-9.10041
2.755,-9.06646
2.75667,-9.03271
2.75833,-8.99915
2.76,-8.96577
2.76167,-8.93259
2.76333,-8.8996
2.765,-8.8668
2.76667,-8.83418
2.76833,-8.80175
2.77,-8.76951
2.77167,-8.73745
2.77333,-8.70557
2.775,-8.67388
2.77667,-8.64237
2.77833,-8.61105
2.78,-8.5799
2.78167,-8.54893
2.78333,-8.51815
2.785,-8.48754
2.78667,-8.4571
2.78833,-8.42685
2.79,-8.39676
2.79167,-8.36686
2.79333,-8.33712
2.795,-8.30756
2.79667,-8.27817
2.79833,-8.24895
2.8,-8.2199
2.80167,-8.19101
2.80333,-8.1623
2.805,-8.13375
2.80667,-8.10536
2.80833,-8.07714
2.81,-8.04909
2.81167,-8.02119
2.81333,-7.99346
2.815,-7.96589
2.81667,-7.93847
2.81833,-7.91122
2.82,-7.88412
2.82167,-7.85718
2.82333,-7.8304
2.825,-7.80377
2.82667,-7.77729
2.82833,-7.75096
2.83,-7.72479
2.83167,-7.69877
2.83333,-7.6729
2.835,-7.64717
2.83667,-7.6216
2.83833,-7.59617
2.84,-7.57089
2.84167,-7.54575
2.84333,-7.52075
2.845,-7.4959
2.84667,-7.47119
2.84833,-7.44662
2.85,-7.4222
2.85167,-7.39791
2.85333,-7.37376
2.855,-7.34974
2.85667,-7.32587
2.85833,-7.30212
2.86,-7.27852
2.86167,-7.25504
2.86333,-7.23171
2.865,-7.2085
2.86667,-7.18542
2.86833,-7.16247
2.87,-7.13966
2.87167,-7.11697
2.87333,-7.09441
2.875,-7.07197
2.87667,-7.04966
2.87833,-7.02748
2.88,-7.00542
2.88167,-6.98348
2.88333,-6.96167
2.885,-6.93998
2.88667,-6.91841
2.88833,-6.89695
2.89,-6.87562
2.89167,-6.85441
2.89333,-6.83331
2.895,-6.81233
2.89667,-6.79147
2.89833,-6.77072
2.9,-6.75009
2.90167,-6.72956
2.90333,-6.70916
2.905,-6.68886
2.90667,-6.66868
2.90833,-6.6486
2.91,-6.62864
2.91167,-6.60878
2.91333,-6.58904
2.915,-6.5694
2.91667,-6.54986
2.91833,-6.53044
2.92,-6.51111
2.92167,-6.4919
2.92333,-6.47278
2.925,-6.45377
2.92667,-6.43487
2.92833,-6.41606
2.93,-6.39736
2.93167,-6.37875
2.93333,-6.36025
2.935,-6.34184
2.93667,-6.32354
2.93833,-6.30533
2.94,-6.28722
2.94167,-6.2692
2.94333,-6.25128
2.945,-6.23346
2.94667,-6.21573
2.94833,-6.19809
2.95,-6.18055
2.95167,-6.16309
2.95333,-6.14574
2.955,-6.12847
2.95667,-6.11129
2.95833,-6.0942
2.96,-6.07721
2.96167,-6.0603
2.96333,-6.04348
2.965,-6.02675
2.96667,-6.0101
2.96833,-5.99354
2.97,-5.97707
2.97167,-5.96068
2.97333,-5.94438
2.975,-5.92816
2.97667,-5.91202
2.97833,-5.89597
2.98,-5.88
2.98167,-5.86411
2.98333,-5.84831
2.985,-5.83258
2.98667,-5.81694
2.98833,-5.80137
2.99,-5.78589
2.99167,-5.77048
2.99333,-5.75515
2.995,-5.7399
2.99667,-5.72473
2.99833,-5.70963
3,-5.69461
