Frequency in GHz,dB(sub-3\s3_3)
2.40667,-10.8617
2.40833,-10.9046
2.41,-10.9473
2.41167,-10.9897
2.41333,-11.032
2.415,-11.074
2.41667,-11.1158
2.41833,-11.1574
2.42,-11.1986
2.42167,-11.2396
2.42333,-11.2804
2.425,-11.3208
2.42667,-11.3609
2.42833,-11.4007
2.43,-11.4402
2.43167,-11.4794
2.43333,-11.5182
2.435,-11.5566
2.43667,-11.5947
2.43833,-11.6324
2.44,-11.6697
2.44167,-11.7066
2.44333,-11.743
2.445,-11.7791
2.44667,-11.8147
2.44833,-11.8498
2.45,-11.8845
2.45167,-11.9187
2.45333,-11.9525
2.455,-11.9857
2.45667,-12.0184
2.45833,-12.0506
2.46,-12.0823
2.46167,-12.1134
2.46333,-12.144
2.465,-12.174
2.46667,-12.2034
2.46833,-12.2323
2.47,-12.2605
2.47167,-12.2881
2.47333,-12.3152
2.475,-12.3416
2.47667,-12.3673
2.47833,-12.3924
2.48,-12.4169
2.48167,-12.4407
2.48333,-12.4638
2.485,-12.4862
2.48667,-12.508
2.48833,-12.529
2.49,-12.5494
2.49167,-12.569
2.49333,-12.5879
2.495,-12.6061
2.49667,-12.6236
2.49833,-12.6403
2.5,-12.6563
2.50167,-12.6715
2.50333,-12.686
2.505,-12.6997
2.50667,-12.7127
2.50833,-12.7249
2.51,-12.7363
2.51167,-12.747
2.51333,-12.7569
2.515,-12.766
2.51667,-12.7744
2.51833,-12.782
2.52,-12.7888
2.52167,-12.7949
2.52333,-12.8002
2.525,-12.8047
2.52667,-12.8084
2.52833,-12.8114
2.53,-12.8136
2.53167,-12.8151
2.53333,-12.8158
2.535,-12.8157
2.53667,-12.8149
2.53833,-12.8134
2.54,-12.8111
2.54167,-12.8081
2.54333,-12.8044
2.545,-12.7999
2.54667,-12.7947
2.54833,-12.7889
2.55,-12.7823
2.55167,-12.775
2.55333,-12.7671
2.555,-12.7585
2.55667,-12.7492
2.55833,-12.7392
2.56,-12.7286
2.56167,-12.7174
2.56333,-12.7055
2.565,-12.6931
2.56667,-12.68
2.56833,-12.6663
2.57,-12.652
2.57167,-12.6371
2.57333,-12.6217
2.575,-12.6057
2.57667,-12.5891
2.57833,-12.572
2.58,-12.5544
2.58167,-12.5363
2.58333,-12.5177
2.585,-12.4986
2.58667,-12.479
2.58833,-12.4589
2.59,-12.4384
2.59167,-12.4174
2.59333,-12.396
2.595,-12.3741
2.59667,-12.3518
2.59833,-12.3292
2.6,-12.3061
2.60167,-12.2827
2.60333,-12.2589
2.605,-12.2347
2.60667,-12.2101
2.60833,-12.1853
2.61,-12.1601
2.61167,-12.1346
2.61333,-12.1088
2.615,-12.0826
2.61667,-12.0562
2.61833,-12.0295
2.62,-12.0026
2.62167,-11.9754
2.62333,-11.9479
2.625,-11.9202
2.62667,-11.8923
2.62833,-11.8641
2.63,-11.8358
2.63167,-11.8072
2.63333,-11.7784
2.635,-11.7495
2.63667,-11.7204
2.63833,-11.6911
2.64,-11.6616
2.64167,-11.632
2.64333,-11.6023
2.645,-11.5724
2.64667,-11.5423
2.64833,-11.5122
2.65,-11.4819
2.65167,-11.4516
2.65333,-11.4211
2.655,-11.3905
2.65667,-11.3599
2.65833,-11.3291
2.66,-11.2983
2.66167,-11.2675
2.66333,-11.2365
2.665,-11.2055
2.66667,-11.1745
2.66833,-11.1433
2.67,-11.1122
2.67167,-11.081
2.67333,-11.0498
2.675,-11.0186
2.67667,-10.9873
2.67833,-10.956
2.68,-10.9247
2.68167,-10.8935
2.68333,-10.8622
2.685,-10.8309
2.68667,-10.7996
2.68833,-10.7683
2.69,-10.737
2.69167,-10.7058
2.69333,-10.6745
2.695,-10.6433
2.69667,-10.6121
2.69833,-10.581
2.7,-10.5499
2.70167,-10.5188
2.70333,-10.4877
2.705,-10.4567
2.70667,-10.4258
2.70833,-10.3949
2.71,-10.364
2.71167,-10.3332
2.71333,-10.3025
2.715,-10.2718
2.71667,-10.2411
2.71833,-10.2106
2.72,-10.1801
2.72167,-10.1496
2.72333,-10.1193
2.725,-10.089
2.72667,-10.0588
2.72833,-10.0286
2.73,-9.99853
2.73167,-9.96854
2.73333,-9.93862
2.735,-9.90879
2.73667,-9.87904
2.73833,-9.84937
2.74,-9.81979
2.74167,-9.79029
2.74333,-9.76088
2.745,-9.73156
2.74667,-9.70233
2.74833,-9.67319
2.75,-9.64414
2.75167,-9.61519
2.75333,-9.58633
2.755,-9.55756
2.75667,-9.52889
2.75833,-9.50031
2.76,-9.47184
2.76167,-9.44346
2.76333,-9.41518
2.765,-9.38699
2.76667,-9.35891
2.76833,-9.33093
2.77,-9.30305
2.77167,-9.27526
2.77333,-9.24759
2.775,-9.22001
2.77667,-9.19253
2.77833,-9.16516
2.78,-9.1379
2.78167,-9.11073
2.78333,-9.08367
2.785,-9.05672
2.78667,-9.02987
2.78833,-9.00312
2.79,-8.97648
2.79167,-8.94994
2.79333,-8.92351
2.795,-8.89718
2.79667,-8.87096
2.79833,-8.84485
2.8,-8.81884
2.80167,-8.79293
2.80333,-8.76714
2.805,-8.74144
2.80667,-8.71586
2.80833,-8.69038
2.81,-8.665
2.81167,-8.63973
2.81333,-8.61457
2.815,-8.58951
2.81667,-8.56456
2.81833,-8.53971
2.82,-8.51496
2.82167,-8.49033
2.82333,-8.46579
2.825,-8.44136
2.82667,-8.41704
2.82833,-8.39282
2.83,-8.3687
2.83167,-8.34468
2.83333,-8.32078
2.835,-8.29697
2.83667,-8.27327
2.83833,-8.24966
2.84,-8.22617
2.84167,-8.20277
2.84333,-8.17948
2.845,-8.15628
2.84667,-8.13319
2.84833,-8.1102
2.85,-8.08731
2.85167,-8.06453
2.85333,-8.04184
2.855,-8.01925
2.85667,-7.99676
2.85833,-7.97438
2.86,-7.95209
2.86167,-7.9299
2.86333,-7.90781
2.865,-7.88582
2.86667,-7.86392
2.86833,-7.84212
2.87,-7.82042
2.87167,-7.79881
2.87333,-7.7773
2.875,-7.75589
2.87667,-7.73457
2.87833,-7.71335
2.88,-7.69222
2.88167,-7.67119
2.88333,-7.65025
2.885,-7.6294
2.88667,-7.60865
2.88833,-7.58799
2.89,-7.56742
2.89167,-7.54695
2.89333,-7.52657
2.895,-7.50627
2.89667,-7.48607
2.89833,-7.46596
2.9,-7.44595
2.90167,-7.42601
2.90333,-7.40617
2.905,-7.38642
2.90667,-7.36676
2.90833,-7.34718
2.91,-7.32769
2.91167,-7.30829
2.91333,-7.28898
2.915,-7.26975
2.91667,-7.25061
2.91833,-7.23155
2.92,-7.21258
2.92167,-7.1937
2.92333,-7.1749
2.925,-7.15618
2.92667,-7.13755
2.92833,-7.119
2.93,-7.10053
2.93167,-7.08215
2.93333,-7.06384
2.935,-7.04562
2.93667,-7.02748
2.93833,-7.00942
2.94,-6.99145
2.94167,-6.97355
2.94333,-6.95573
2.945,-6.93799
2.94667,-6.92033
2.94833,-6.90275
2.95,-6.88525
2.95167,-6.86782
2.95333,-6.85047
2.955,-6.8332
2.95667,-6.81601
2.95833,-6.79889
2.96,-6.78185
2.96167,-6.76488
2.96333,-6.74799
2.965,-6.73117
2.96667,-6.71443
2.96833,-6.69776
2.97,-6.68116
2.97167,-6.66464
2.97333,-6.64819
2.975,-6.63181
2.97667,-6.61551
2.97833,-6.59927
2.98,-6.58311
2.98167,-6.56702
2.98333,-6.551
2.985,-6.53505
2.98667,-6.51917
2.98833,-6.50335
2.99,-6.48761
2.99167,-6.47194
2.99333,-6.45633
2.995,-6.44079
2.99667,-6.42532
2.99833,-6.40992
3,-6.39458
