Frequency in GHz,dB(sub-3\s3_3)
2.95,-6.73865
2.95167,-6.71683
2.95333,-6.69513
2.955,-6.67356
2.95667,-6.65212
2.95833,-6.6308
2.96,-6.60961
2.96167,-6.58854
2.96333,-6.56759
2.965,-6.54677
2.96667,-6.52606
2.96833,-6.50547
2.97,-6.48501
2.97167,-6.46466
2.97333,-6.44443
2.975,-6.42431
2.97667,-6.40431
2.97833,-6.38442
2.98,-6.36465
2.98167,-6.34499
2.98333,-6.32544
2.985,-6.306
2.98667,-6.28667
2.98833,-6.26746
2.99,-6.24835
2.99167,-6.22934
2.99333,-6.21045
2.995,-6.19166
2.99667,-6.17298
2.99833,-6.1544
3,-6.13593
