Frequency in GHz,dB(sub-3\s3_3)
2.3,-7.08085
2.30167,-7.12326
2.30333,-7.16588
2.305,-7.2087
2.30667,-7.25172
2.30833,-7.29494
2.31,-7.33837
2.31167,-7.382
2.31333,-7.42582
2.315,-7.46985
2.31667,-7.51408
2.31833,-7.55851
2.32,-7.60314
2.32167,-7.64796
2.32333,-7.69299
2.325,-7.73821
2.32667,-7.78362
2.32833,-7.82923
2.33,-7.87504
2.33167,-7.92104
2.33333,-7.96723
2.335,-8.01361
2.33667,-8.06018
2.33833,-8.10694
2.34,-8.15389
2.34167,-8.20102
2.34333,-8.24834
2.345,-8.29584
2.34667,-8.34352
2.34833,-8.39138
2.35,-8.43941
2.35167,-8.48763
2.35333,-8.53601
2.355,-8.58457
2.35667,-8.63329
2.35833,-8.68219
2.36,-8.73124
2.36167,-8.78046
2.36333,-8.82984
2.365,-8.87937
2.36667,-8.92906
2.36833,-8.97889
2.37,-9.02888
2.37167,-9.079
2.37333,-9.12927
2.375,-9.17967
2.37667,-9.23021
2.37833,-9.28087
2.38,-9.33167
2.38167,-9.38258
2.38333,-9.43361
2.385,-9.48475
2.38667,-9.53599
2.38833,-9.58734
2.39,-9.63879
2.39167,-9.69033
2.39333,-9.74196
2.395,-9.79367
2.39667,-9.84545
2.39833,-9.89731
2.4,-9.94922
2.40167,-10.0012
2.40333,-10.0532
2.405,-10.1053
2.40667,-10.1574
2.40833,-10.2095
2.41,-10.2617
2.41167,-10.3139
2.41333,-10.366
2.415,-10.4182
2.41667,-10.4704
2.41833,-10.5225
2.42,-10.5747
2.42167,-10.6267
2.42333,-10.6788
2.425,-10.7308
2.42667,-10.7827
2.42833,-10.8345
2.43,-10.8863
2.43167,-10.9379
2.43333,-10.9895
2.435,-11.0409
2.43667,-11.0922
2.43833,-11.1433
2.44,-11.1943
2.44167,-11.2451
2.44333,-11.2958
2.445,-11.3462
2.44667,-11.3965
2.44833,-11.4465
2.45,-11.4963
2.45167,-11.5458
2.45333,-11.5951
2.455,-11.644
2.45667,-11.6927
2.45833,-11.7411
2.46,-11.7892
2.46167,-11.8369
2.46333,-11.8843
2.465,-11.9312
2.46667,-11.9778
2.46833,-12.024
2.47,-12.0698
2.47167,-12.1151
2.47333,-12.16
2.475,-12.2044
2.47667,-12.2483
2.47833,-12.2917
2.48,-12.3346
2.48167,-12.3769
2.48333,-12.4186
2.485,-12.4598
2.48667,-12.5004
2.48833,-12.5404
2.49,-12.5797
2.49167,-12.6184
2.49333,-12.6564
2.495,-12.6937
2.49667,-12.7303
2.49833,-12.7662
2.5,-12.8013
2.50167,-12.8357
2.50333,-12.8693
2.505,-12.9021
2.50667,-12.9341
2.50833,-12.9653
2.51,-12.9956
2.51167,-13.0251
2.51333,-13.0537
2.515,-13.0815
2.51667,-13.1083
2.51833,-13.1342
2.52,-13.1592
2.52167,-13.1833
2.52333,-13.2064
2.525,-13.2285
2.52667,-13.2497
2.52833,-13.2699
2.53,-13.2891
2.53167,-13.3073
2.53333,-13.3245
2.535,-13.3407
2.53667,-13.3558
2.53833,-13.3699
2.54,-13.383
2.54167,-13.3951
2.54333,-13.4061
2.545,-13.4161
2.54667,-13.4251
2.54833,-13.433
2.55,-13.4398
2.55167,-13.4456
2.55333,-13.4504
2.555,-13.4541
2.55667,-13.4568
2.55833,-13.4585
2.56,-13.4591
2.56167,-13.4587
2.56333,-13.4573
2.565,-13.4549
2.56667,-13.4515
2.56833,-13.4471
2.57,-13.4417
2.57167,-13.4354
2.57333,-13.428
2.575,-13.4198
2.57667,-13.4106
2.57833,-13.4004
2.58,-13.3894
2.58167,-13.3774
2.58333,-13.3646
2.585,-13.3509
2.58667,-13.3363
2.58833,-13.3209
2.59,-13.3046
2.59167,-13.2876
2.59333,-13.2697
2.595,-13.2511
2.59667,-13.2317
2.59833,-13.2115
2.6,-13.1906
2.60167,-13.169
2.60333,-13.1468
2.605,-13.1238
2.60667,-13.1002
2.60833,-13.0759
2.61,-13.051
2.61167,-13.0255
2.61333,-12.9994
2.615,-12.9727
2.61667,-12.9455
2.61833,-12.9177
2.62,-12.8894
2.62167,-12.8606
2.62333,-12.8313
2.625,-12.8015
2.62667,-12.7713
2.62833,-12.7407
2.63,-12.7096
2.63167,-12.6781
2.63333,-12.6462
2.635,-12.614
2.63667,-12.5814
2.63833,-12.5484
2.64,-12.5151
2.64167,-12.4815
2.64333,-12.4476
2.645,-12.4135
2.64667,-12.379
2.64833,-12.3443
2.65,-12.3093
2.65167,-12.2741
2.65333,-12.2387
2.655,-12.2031
2.65667,-12.1673
2.65833,-12.1313
2.66,-12.0951
2.66167,-12.0588
2.66333,-12.0223
2.665,-11.9857
2.66667,-11.9489
2.66833,-11.9121
2.67,-11.8751
2.67167,-11.838
2.67333,-11.8009
2.675,-11.7636
2.67667,-11.7263
2.67833,-11.6889
2.68,-11.6515
2.68167,-11.6141
2.68333,-11.5765
2.685,-11.539
2.68667,-11.5014
2.68833,-11.4639
2.69,-11.4263
2.69167,-11.3887
2.69333,-11.3511
2.695,-11.3135
2.69667,-11.276
2.69833,-11.2385
2.7,-11.201
2.70167,-11.1635
2.70333,-11.1261
2.705,-11.0887
2.70667,-11.0513
2.70833,-11.0141
2.71,-10.9768
2.71167,-10.9397
2.71333,-10.9026
2.715,-10.8656
2.71667,-10.8286
2.71833,-10.7918
2.72,-10.755
2.72167,-10.7183
2.72333,-10.6817
2.725,-10.6452
2.72667,-10.6087
2.72833,-10.5724
2.73,-10.5362
2.73167,-10.5001
2.73333,-10.4641
2.735,-10.4282
2.73667,-10.3924
2.73833,-10.3567
2.74,-10.3211
2.74167,-10.2857
2.74333,-10.2504
2.745,-10.2152
2.74667,-10.1801
2.74833,-10.1451
2.75,-10.1103
2.75167,-10.0756
2.75333,-10.0411
2.755,-10.0066
2.75667,-9.9723
2.75833,-9.93813
2.76,-9.90409
2.76167,-9.87018
2.76333,-9.83641
2.765,-9.80278
2.76667,-9.76928
2.76833,-9.73592
2.77,-9.7027
2.77167,-9.66962
2.77333,-9.63669
2.775,-9.60389
2.77667,-9.57123
2.77833,-9.53872
2.78,-9.50635
2.78167,-9.47412
2.78333,-9.44203
2.785,-9.41009
2.78667,-9.37829
2.78833,-9.34663
2.79,-9.31512
2.79167,-9.28375
2.79333,-9.25253
2.795,-9.22145
2.79667,-9.19051
2.79833,-9.15972
2.8,-9.12907
2.80167,-9.09857
2.80333,-9.06821
2.805,-9.038
2.80667,-9.00792
2.80833,-8.978
2.81,-8.94821
2.81167,-8.91857
2.81333,-8.88907
2.815,-8.85971
2.81667,-8.8305
2.81833,-8.80143
2.82,-8.7725
2.82167,-8.74371
2.82333,-8.71506
2.825,-8.68655
2.82667,-8.65819
2.82833,-8.62996
2.83,-8.60187
2.83167,-8.57392
2.83333,-8.54611
2.835,-8.51844
2.83667,-8.49091
2.83833,-8.46351
2.84,-8.43625
2.84167,-8.40912
2.84333,-8.38214
2.845,-8.35528
2.84667,-8.32856
2.84833,-8.30198
2.85,-8.27553
2.85167,-8.24921
2.85333,-8.22303
2.855,-8.19697
2.85667,-8.17105
2.85833,-8.14526
2.86,-8.1196
2.86167,-8.09407
2.86333,-8.06867
2.865,-8.04339
2.86667,-8.01825
2.86833,-7.99323
2.87,-7.96834
2.87167,-7.94358
2.87333,-7.91894
2.875,-7.89442
2.87667,-7.87003
2.87833,-7.84577
2.88,-7.82163
2.88167,-7.79761
2.88333,-7.77371
2.885,-7.74993
2.88667,-7.72627
2.88833,-7.70274
2.89,-7.67932
2.89167,-7.65602
2.89333,-7.63284
2.895,-7.60978
2.89667,-7.58684
2.89833,-7.56401
2.9,-7.54129
2.90167,-7.51869
2.90333,-7.49621
2.905,-7.47384
2.90667,-7.45158
2.90833,-7.42944
2.91,-7.40741
2.91167,-7.38549
2.91333,-7.36368
2.915,-7.34198
2.91667,-7.32039
2.91833,-7.2989
2.92,-7.27753
2.92167,-7.25626
2.92333,-7.23511
2.925,-7.21405
2.92667,-7.19311
2.92833,-7.17227
2.93,-7.15153
2.93167,-7.1309
2.93333,-7.11037
2.935,-7.08994
2.93667,-7.06962
2.93833,-7.0494
2.94,-7.02928
2.94167,-7.00926
2.94333,-6.98934
2.945,-6.96952
2.94667,-6.94979
2.94833,-6.93017
2.95,-6.91064
2.95167,-6.89121
2.95333,-6.87188
2.955,-6.85264
2.95667,-6.8335
2.95833,-6.81445
2.96,-6.7955
2.96167,-6.77664
2.96333,-6.75787
2.965,-6.7392
2.96667,-6.72062
2.96833,-6.70213
2.97,-6.68373
2.97167,-6.66542
2.97333,-6.6472
2.975,-6.62907
2.97667,-6.61103
2.97833,-6.59307
2.98,-6.57521
2.98167,-6.55743
2.98333,-6.53974
2.985,-6.52213
2.98667,-6.50461
2.98833,-6.48718
2.99,-6.46983
2.99167,-6.45256
2.99333,-6.43538
2.995,-6.41828
2.99667,-6.40126
2.99833,-6.38433
3,-6.36748
